Data;Abertura;Máxima;Mínima;Fechamento;Média Móvel A [200];Média Móvel A [50];Média Móvel A [200];Média Móvel A [20];Detector de Topos e Fundos [2];VWAP D
19/01/2021;5270;5364,5;5243;5351,5;5387,94;5276,25;5387,94;5265,82;;5309,95
18/01/2021;5315;5324,5;5238;5301;5387,16;5282,35;5387,16;5252,35;;5284,19
15/01/2021;5250;5312;5226,5;5293,5;5386,16;5291,57;5386,16;5241,42;;5272,5
14/01/2021;5297,5;5305;5194;5198;5384,8;5300,71;5384,8;5232,72;5194;5243,32
13/01/2021;5348;5357,5;5273,5;5303,5;5384;5312,34;5384;5226,12;;5314,02
12/01/2021;5475;5497,5;5316;5326;5382,99;5321,23;5382,99;5212,3;;5419,25
11/01/2021;5470;5520;5454;5491;5382,11;5328,85;5382,11;5204,57;5520;5495,86
08/01/2021;5390;5444;5325;5424,5;5379,98;5331,56;5379,98;5185,85;;5387,59
07/01/2021;5352,5;5422,5;5304;5415;5378,36;5335,53;5378,36;5169,62;;5370,2
06/01/2021;5270,5;5363,5;5237;5321,5;5376,82;5339,12;5376,82;5156,65;;5305,58
05/01/2021;5289;5358,5;5257,5;5293;5375,27;5344,91;5375,27;5148,22;;5310,74
04/01/2021;5137,5;5302;5121,5;5302;5373,78;5351,23;5373,78;5144,55;5121,5;5204,11
30/12/2020;5196;5237,5;5152,5;5197;5371,43;5357,43;5371,43;5139,87;;5190,57
29/12/2020;5226,5;5246;5163;5212;5369,46;5366,47;5369,46;5146,72;;5196,07
28/12/2020;5175;5311,5;5163,5;5239,5;5367,52;5374,55;5367,52;5153,32;5311,5;5249,74
23/12/2020;5145;5220,5;5129;5216,5;5364,59;5381,67;5364,59;5158,2;;5183,64
22/12/2020;5134,5;5172;5109;5156,5;5362,18;5388,83;5362,18;5163,6;;5147,12
21/12/2020;5199,5;5224;5112;5117;5359,57;5396,43;5359,57;5174,47;;5158,27
18/12/2020;5105;5116;5071,5;5100,5;5357,06;5406,22;5357,06;5190,67;;5092,69
17/12/2020;5060;5086;5039;5057;5354,52;5416,55;5354,52;5204,67;;5063,7
16/12/2020;5065;5143;5063;5082;5351,85;5427,37;5351,85;5217,15;;5110,42
