Data;Abertura;Máxima;Mínima;Fechamento;Média Móvel A [200];Média Móvel A [50];Média Móvel A [200];Média Móvel A [20];Detector de Topos e Fundos [2];VWAP D
04/01/2021;5137,5;5520;5121,5;5366;2717,86;4026,68;2717,86;4819,79;;
01/12/2020;5318;5330,5;5011;5189,53;2706,92;3987,1;2706,92;4747,7;;
03/11/2020;5702;5771,5;5228;5332;2695,65;3947,07;2695,65;4684,17;;
01/10/2020;5580,5;5809,48;5487,5;5746,03;2683,47;3905,48;2683,47;4613,52;;
01/09/2020;5454,5;5679;5213;5613,01;2669,26;3855,05;2669,26;4513,74;;
03/08/2020;5231;5675;5217;5498;2655,87;3807,63;2655,87;4415,17;;
01/07/2020;5472,5;5482;5085,5;5225,95;2643,61;3762,03;2643,61;4334,75;;
01/06/2020;5340;5515,54;4823,5;5465,02;2633,16;3729,76;2633,16;4266,17;;
04/05/2020;5619;5977,5;5270,5;5333,64;2621,28;3689,2;2621,28;4178,94;;
01/04/2020;5245;5751,5;5055,5;5487,27;2610,46;3654,73;2610,46;4114,71;;
02/03/2020;4509,5;5257,5;4460,5;5207,48;2599,62;3625,41;2599,62;4042,06;;
03/02/2020;4275;4512,45;4213,5;4480,02;2590,45;3601,44;2590,45;3969,18;;
02/01/2020;4015,5;4291,45;4008,5;4283,96;2584,45;3590,97;2584,45;3939,31;;
02/12/2019;4261;4262;4009,04;4019,53;2580,44;3582,77;2580,44;3911,31;;
01/11/2019;4012,5;4277,5;3976,5;4235,42;2577,97;3579,55;2577,97;3885,55;;
01/10/2019;4175,5;4193,5;3960,08;4012,43;2577,38;3573,87;2577,38;3839;;
02/09/2019;4151;4196;4031,5;4148,52;2579,44;3566,01;2579,44;3800,78;;
01/08/2019;3834;4148,89;3820;4091,11;2580,72;3551,58;2580,72;3752,56;;
01/07/2019;3843,5;3890;3721,5;3811,45;;3531,91;;3713,68;;
03/06/2019;3940;3943;3809;3849,41;;3519,27;;3686,6;;
02/05/2019;3944;4127;3907,7;3924,16;;3502,53;;3657,81;;
01/04/2019;3900;4008,5;3820;3919,06;;3487,97;;3619,78;;
01/03/2019;3756;4017,5;3740;3918,96;;3466,36;;3581,28;;
01/02/2019;3658;3799;3639,5;3750,46;;3441,63;;3541,85;;
02/01/2019;3888;3904;3634,12;3641,61;;3419,78;;3519,83;;
03/12/2018;3826;3948;3819;3889,48;;3398,23;;3499,21;;
01/11/2018;3706,5;3946,5;3688;3854,49;;3370,09;;3463,39;;
01/10/2018;4051;4071,5;3582,5;3720,43;;3341,84;;3426,82;;
03/09/2018;4106,5;4217;3966,5;4048,94;;3312,13;;3396,08;;
01/08/2018;3767;4215,5;3702,5;4034,34;;3276,44;;3350,9;;
02/07/2018;3904,5;3963;3690,5;3749,9;;3240,04;;3311,83;;
01/06/2018;3755;3977;3678;3882,47;;3209,87;;3293,66;;
